web-scraper-order,web-scraper-start-url,local_listing,local_listing-href
"1587924577-6554","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","nexport.com","http://www.nexport.com/"
"1587924577-6598","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yellowusa.com","http://www.yellowusa.com/"
"1587924577-6548","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","mycityfaces.com","http://www.mycityfaces.com/"
"1587924577-6597","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yellowpages.cybo.com","https://yellowpages.cybo.com/"
"1587924577-6599","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yelloyello.com","https://www.yelloyello.com/"
"1587924577-6555","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","nextbizdoor.com","http://www.nextbizdoor.com/"
"1587924577-6499","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","cityfos.com","https://www.cityfos.com/signup/"
"1587924577-6512","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","ezlocal.com","http://ezlocal.com/"
"1587924577-6542","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","localstore.net","https://www.localstore.net/"
"1587924577-6566","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","showmelocal.com","http://www.showmelocal.com/"
"1587924577-6560","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","quora.com","https://www.quora.com/"
